Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,BLK,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game,BLK_per_game
Mason Plumlee,28,C,DEN,82,1731,262,442,0.5927601809954751,260,432,0.6018518518518519,111,198,0.5606060606060606,165,359,524,76,637,7.7682926829268295,12917808,6.390243902439025,2.0121951219512195,0.926829268292683
Meyers Leonard,26,C,POR,61,878,132,242,0.5454545454545454,82,131,0.6259541984732825,43,51,0.8431372549019608,49,184,233,9,357,5.852459016393443,10595506,3.819672131147541,0.8032786885245902,0.14754098360655737
Mo Bamba,20,C,ORL,47,766,117,243,0.48148148148148145,96,173,0.5549132947976878,37,63,0.5873015873015873,64,169,233,64,292,6.212765957446808,4871280,4.957446808510638,1.3617021276595744,1.3617021276595744
Montrezl Harrell,25,C,LAC,82,2158,546,888,0.6148648648648649,543,871,0.6234213547646383,266,414,0.642512077294686,184,351,535,110,1361,16.597560975609756,6000000,6.524390243902439,2.2439024390243905,1.3414634146341464
Moritz Wagner,21,C,LAL,43,446,71,171,0.4152046783625731,49,94,0.5212765957446809,43,53,0.8113207547169812,17,68,85,13,207,4.813953488372093,1764240,1.9767441860465116,0.3953488372093023,0.3023255813953488
Myles Turner,22,C,IND,74,2119,380,780,0.48717948717948717,304,584,0.5205479452054794,148,201,0.736318407960199,101,430,531,199,984,13.297297297297296,3294994,7.175675675675675,1.364864864864865,2.689189189189189
Nikola Jokic,23,C,DEN,80,2504,616,1206,0.5107794361525705,533,936,0.5694444444444444,289,352,0.8210227272727273,228,637,865,55,1604,20.05,25467250,10.8125,2.85,0.6875
Nikola Vucevic,28,C,ORL,80,2510,701,1354,0.517725258493353,617,1123,0.5494211932324132,179,227,0.788546255506608,224,736,960,89,1665,20.8125,12750000,12,2.8,1.1125
Robin Lopez,30,C,CHI,74,1606,304,535,0.5682242990654206,297,504,0.5892857142857143,89,123,0.7235772357723578,140,146,286,78,704,9.513513513513514,14357750,3.864864864864865,1.8918918918918919,1.054054054054054
Salah Mejri,32,C,DAL,36,399,55,112,0.49107142857142855,44,78,0.5641025641025641,20,32,0.625,36,95,131,26,141,3.9166666666666665,2098196,3.638888888888889,1,0.7222222222222222
Serge Ibaka,29,C,TOR,74,2010,464,877,0.5290763968072976,415,708,0.5861581920903954,135,177,0.7627118644067796,156,445,601,103,1112,15.027027027027026,21666667,8.121621621621621,2.108108108108108,1.3918918918918919
Steven Adams,25,C,OKC,80,2669,481,809,0.5945611866501854,481,807,0.5960346964064436,146,292,0.5,391,369,760,76,1108,13.85,24157304,9.5,4.8875,0.95
Thomas Bryant,21,C,WAS,72,1496,309,502,0.6155378486055777,276,403,0.684863523573201,107,137,0.781021897810219,113,341,454,67,758,10.527777777777779,1378242,6.305555555555555,1.5694444444444444,0.9305555555555556
Thomas Welsh,22,C,DEN,11,36,7,13,0.5384615384615384,4,6,0.6666666666666666,1,2,0.5,0,4,4,0,18,1.6363636363636365,77250,0.36363636363636365,0,0
Udonis Haslem,38,C,MIA,10,74,11,33,0.3333333333333333,11,21,0.5238095238095238,3,4,0.75,3,24,27,0,25,2.5,2393887,2.7,0.3,0
Wendell Carter,19,C,CHI,44,1110,180,371,0.48517520215633425,174,339,0.5132743362831859,89,112,0.7946428571428571,87,220,307,58,455,10.340909090909092,4446840,6.9772727272727275,1.9772727272727273,1.3181818181818181
Willie Cauley-Stein,25,C,SAC,81,2213,412,741,0.5560053981106613,411,739,0.5561569688768606,140,254,0.5511811023622047,181,497,678,51,965,11.91358024691358,4696874,8.37037037037037,2.234567901234568,0.6296296296296297
Willy Hernangomez,24,C,CHO,58,812,153,295,0.5186440677966102,138,256,0.5390625,100,144,0.6944444444444444,117,194,311,20,421,7.258620689655173,1496500,5.362068965517241,2.0172413793103448,0.3448275862068966
Zach Collins,21,C,POR,77,1356,189,400,0.4725,149,279,0.5340501792114696,94,126,0.746031746031746,109,215,324,66,512,6.64935064935065,3628920,4.207792207792208,1.4155844155844155,0.8571428571428571
Zaza Pachulia,34,C,DET,68,878,85,193,0.44041450777202074,85,189,0.4497354497354497,97,124,0.782258064516129,99,166,265,17,267,3.926470588235294,2393887,3.8970588235294117,1.4558823529411764,0.25
