Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Luka Doncic,19,SG,DAL,72,72,2318,506,1186,0.4266441821247892,168,514,0.32684824902723736,338,672,0.5029761904761905,346,485,0.7134020618556701,86,477,563,429,77,25,247,137,1526,0.40893760539629004,21.194444444444443,0.6583261432269197,1.736842105263158,6569040
Luke Kennard,22,SG,DET,63,10,1437,228,520,0.43846153846153846,106,269,0.3940520446096654,122,251,0.4860557768924303,51,61,0.8360655737704918,12,171,183,114,26,10,57,92,613,0.11730769230769231,9.73015873015873,0.4265831593597773,2,3275280
Luke Kornet,23,PF,NYK,46,18,784,107,283,0.37809187279151946,70,193,0.3626943005181347,37,90,0.4111111111111111,38,46,0.8260869565217391,28,107,135,54,27,42,25,41,322,0.1625441696113074,7,0.4107142857142857,2.16,1619260
Luol Deng,33,SF,MIN,22,2,392,59,118,0.5,14,44,0.3181818181818182,45,74,0.6081081081081081,25,35,0.7142857142857143,20,53,73,18,15,8,14,24,157,0.2966101694915254,7.136363636363637,0.4005102040816326,1.2857142857142858,16747954
Malachi Richardson,23,SG,TOR,22,0,103,9,29,0.3103448275862069,8,25,0.32,1,4,0.25,4,5,0.8,2,11,13,0,1,0,8,13,30,0.1724137931034483,1.3636363636363635,0.2912621359223301,0,1569360
Malcolm Brogdon,26,SG,MIL,64,64,1832,378,748,0.5053475935828877,104,244,0.4262295081967213,274,504,0.5436507936507936,141,152,0.9276315789473685,65,223,288,205,46,13,91,102,1001,0.20320855614973263,15.640625,0.5463973799126638,2.2527472527472527,1544951
Malcolm Miller,25,SF,TOR,10,0,67,11,26,0.4230769230769231,10,21,0.47619047619047616,1,5,0.2,3,4,0.75,1,4,5,1,1,1,1,5,35,0.15384615384615385,3.5,0.5223880597014925,1,457418
Malik Beasley,22,SG,DEN,81,18,1879,349,737,0.4735413839891452,163,405,0.4024691358024691,186,332,0.5602409638554217,56,66,0.8484848484848485,35,165,200,97,55,10,55,116,917,0.08955223880597014,11.320987654320987,0.4880255455029271,1.7636363636363637,1773840
Malik Monk,20,SG,CHO,73,0,1258,227,586,0.3873720136518771,109,330,0.3303030303030303,118,256,0.4609375,90,102,0.8823529411764706,16,121,137,117,37,19,86,106,653,0.17406143344709898,8.945205479452055,0.5190779014308426,1.3604651162790697,3447480
Marc Gasol,34,"C, C","TOR, MEM",79,72,2436,390,870,0.4482758620689655,99,273,0.3626373626373626,291,597,0.48743718592964824,192,253,0.758893280632411,80,547,627,349,84,86,155,217,1071,0.2908045977011494,13.556962025316455,0.4396551724137931,2.2516129032258063,24119025
Marco Belinelli,32,SG,SAS,79,1,1815,285,690,0.41304347826086957,147,395,0.3721518987341772,138,295,0.46779661016949153,112,124,0.9032258064516129,16,182,198,132,35,8,72,121,829,0.17971014492753623,10.49367088607595,0.4567493112947658,1.8333333333333333,6153846
Marcus Derrickson,22,PF,GSW,11,0,67,16,33,0.48484848484848486,10,20,0.5,6,13,0.46153846153846156,4,5,0.8,8,5,13,1,0,1,3,9,46,0.15151515151515152,4.181818181818182,0.6865671641791045,0.3333333333333333,77250
Marcus Morris,29,PF,BOS,75,53,2091,377,844,0.4466824644549763,146,389,0.37532133676092544,231,455,0.5076923076923077,146,173,0.8439306358381503,76,382,458,109,43,25,92,181,1046,0.20497630331753555,13.946666666666667,0.5002391200382592,1.184782608695652,5375000
Marcus Smart,24,SG,BOS,80,60,2200,239,567,0.42151675485008816,126,346,0.36416184971098264,113,221,0.5113122171945701,104,129,0.8062015503875969,57,177,234,321,143,28,123,201,708,0.2275132275132275,8.85,0.32181818181818184,2.6097560975609757,11160716
Mario Hezonja,23,SF,NYK,58,24,1206,191,464,0.41163793103448276,42,152,0.27631578947368424,149,312,0.4775641025641026,87,114,0.7631578947368421,28,211,239,88,57,8,88,110,511,0.24568965517241378,8.810344827586206,0.42371475953565507,1,6500000
Markelle Fultz,20,SG,PHI,19,15,427,65,155,0.41935483870967744,4,14,0.2857142857142857,61,141,0.4326241134751773,21,37,0.5675675675675675,26,44,70,59,17,5,25,52,155,0.23870967741935484,8.157894736842104,0.3629976580796253,2.36,8339880
Markieff Morris,29,"PF, PF","OKC, WAS",58,16,1270,204,484,0.4214876033057851,68,203,0.33497536945812806,136,281,0.48398576512455516,71,92,0.7717391304347826,61,204,265,79,36,22,54,175,547,0.19008264462809918,9.431034482758621,0.43070866141732284,1.462962962962963,9173294
Marquese Chriss,21,"PF, PF","HOU, CLE",43,2,499,67,180,0.37222222222222223,16,72,0.2222222222222222,51,108,0.4722222222222222,32,45,0.7111111111111111,40,102,142,22,17,11,36,81,182,0.25,4.232558139534884,0.36472945891783565,0.6111111111111112,3206160
MarShon Brooks,30,SG,MEM,29,0,387,76,169,0.44970414201183434,15,54,0.2777777777777778,61,115,0.5304347826086957,23,33,0.696969696969697,12,33,45,25,9,4,21,33,190,0.1952662721893491,6.551724137931035,0.4909560723514212,1.1904761904761905,1656092
